                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      4.1999999999999998E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LC                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                  burn_ne                                  burn_mg                                  burn_si                                  burn_fe                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              center_ne20                              center_mg24                              center_si28                              center_fe56                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                           total_mass_c12                           total_mass_o16                          total_mass_ne20                          total_mass_mg24                          total_mass_si28                          total_mass_fe56                              num_retries                              num_backups                                num_iters 
                                     341                                      882                  1.5230777677493426E+008                  3.6287909068274189E+000                  4.1999993767035448E-001                  3.2921927676507075E+001                 -1.0834096250227297E+001                  0.0000000000000000E+000                  9.9999999929445238E-001                  9.9999999856837285E-001                  9.9999999999886913E-001                  9.9999999998877542E-001                  1.0000000000000000E+000                  9.2978028054524486E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0768366829018542E-001                 -7.9980154518084534E+000                 -7.7432762224734351E+000                 -7.6332828020914745E+000                  2.0768367725818507E-001                 -8.8267645747321843E+000                  2.0768366788900838E-001                 -7.9980154518084534E+000                 -7.7432762224734351E+000                 -8.3170151215034060E+000                 -9.4131896334145058E+000                 -4.3247914464505548E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  6.3473338314177526E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.9417652391171117E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.1999993767035448E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8252885879390885E+005                  4.4955523708310849E+000                  1.8823949050490862E+000                 -5.2664845268500160E-001                  5.1144354847300217E+000                  5.7733840310246594E-009                  7.8011484156587656E+000                  4.7625222464161032E+000                  2.0587436476735363E+001                  4.7625222464161032E+000                  7.8011484156587656E+000                  1.3398675386725318E+000                  4.9999168780635439E-001                  4.0592529781370184E+000                  0.0000000000000000E+000                  9.8052944356055427E-001                  1.5493515548101503E-004                  7.2130994459094361E-004                  1.9423580198958707E-003                  4.0903233798065429E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4467679877842223E-005                  9.8048354160294537E-001                  1.6020164731444299E-004                  7.4008255151519428E-004                  1.2173249959709703E-006                  4.1182057371555658E-001                  6.4056418724099893E-005                  3.0578848823950837E-004                  8.1579036665497173E-004                  1.7179358159364055E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                                        0                                        6 
                                     342                                      811                  1.5231288149760675E+008                  3.7079721528750440E+000                  4.1999986038767501E-001                  3.2921927596594102E+001                 -1.0819889981310967E+001                  0.0000000000000000E+000                  9.9999999934144512E-001                  9.9999999863286748E-001                  9.9999999999899725E-001                  9.9999999998949418E-001                  1.0000000000000000E+000                  9.2978045262981368E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9978844540545174E-001                 -7.8689393596974213E+000                 -7.6464616559254797E+000                 -7.5295094745834277E+000                 -1.9978841577569872E-001                 -8.6425508251304031E+000                 -1.9978844697228190E-001                 -7.8689393596974213E+000                 -7.6464616559254797E+000                 -8.1891679055869453E+000                 -9.2957067506814877E+000                 -4.2791790186673751E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.1999986038767501E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7800183892998667E+005                  4.5029541563335194E+000                  1.8995352121699665E+000                 -5.3288187012942945E-001                  5.1269022397059025E+000                  4.2852342917042638E-009                  7.8042314716318240E+000                  4.7673623510007852E+000                  2.0595391750456287E+001                  4.7673623510007852E+000                  7.8042314716318240E+000                  1.3398675386728236E+000                  4.9999168780633529E-001                  4.0592529781393791E+000                  0.0000000000000000E+000                  9.8052944355980731E-001                  1.5493515556632307E-004                  7.2130994517321308E-004                  1.9423580198958703E-003                  4.0903233798065420E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4463408830037916E-005                  9.8048354579835439E-001                  1.6020144046459148E-004                  7.4008288063731305E-004                  1.1848058576306931E-006                  4.1182053247324168E-001                  6.4068416165141584E-005                  3.0578831378995228E-004                  8.1579021653410146E-004                  1.7179354998036948E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                                        0                                        6 
                                     343                                      817                  1.5231900716481382E+008                  3.7871533989226687E+000                  4.1999976528919170E-001                  3.2921927498258945E+001                 -1.0808979808106042E+001                  0.0000000000000000E+000                  9.9999999940008277E-001                  9.9999999875374790E-001                  9.9999999999912537E-001                  9.9999999999053701E-001                  1.0000000000000000E+000                  9.2978066135174231E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.6481850086723594E-001                 -7.7147179501118579E+000                 -7.5304274184962630E+000                 -7.4043083073916565E+000                 -3.6481844180884110E-001                 -8.6272956641774297E+000                 -3.6481850324028736E-001                 -7.7147179501118579E+000                 -7.5304274184962630E+000                 -8.0345417353476805E+000                 -9.1553851077590824E+000                 -4.2250210585795742E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.1999976528919170E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7913024432830329E+005                  4.5116584579548755E+000                  1.9093111970480403E+000                 -5.4540248093310517E-001                  5.1519433629780993E+000                  2.6506254080243486E-009                  7.8079159878510840E+000                  4.7731479533442069E+000                  2.0604899971294053E+001                  4.7731479533442069E+000                  7.8079159878510840E+000                  1.3398675386732937E+000                  4.9999168780630421E-001                  4.0592529781431841E+000                  0.0000000000000000E+000                  9.8052944355859517E-001                  1.5493515577639423E-004                  7.2130994604564065E-004                  1.9423580198958709E-003                  4.0903233798065437E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4458766282690310E-005                  9.8048355035868362E-001                  1.6020121562156656E-004                  7.4008323838722261E-004                  1.1581884808020147E-006                  4.1182046681513967E-001                  6.4074166151948520E-005                  3.0578816035053302E-004                  8.1579003181753184E-004                  1.7179351108174759E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                                        0                                        6 
                                     344                                      829                  1.5232635796546224E+008                  3.8663346449702938E+000                  4.1999965188825988E-001                  3.2921927380998390E+001                 -1.0811718021926856E+001                  0.0000000000000000E+000                  9.9999999949785046E-001                  9.9999999893701463E-001                  9.9999999999934397E-001                  9.9999999999186673E-001                  1.0000000000000000E+000                  9.2978091115192285E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4811796005179633E-001                 -7.5333908034601578E+000                 -7.3935614295949046E+000                 -7.2553679893096410E+000                 -4.4811785667316889E-001                 -8.5947956488187440E+000                 -4.4811796314997615E-001                 -7.5333908034601578E+000                 -7.3935614295949046E+000                 -7.8502823598878884E+000                 -8.9906232949464826E+000                 -4.1618401768828619E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.1999965188825988E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8813224082024314E+005                  4.5210547636891922E+000                  1.9076432416210340E+000                 -5.6502907011524184E-001                  5.1911964240818174E+000                  1.2969724908212448E-009                  7.8122462379430324E+000                  4.7799502029243390E+000                  2.0616077204348390E+001                  4.7799502029243390E+000                  7.8122462379430324E+000                  1.3398675386740979E+000                  4.9999168780624970E-001                  4.0592529781496705E+000                  0.0000000000000000E+000                  9.8052944355651650E-001                  1.5493515627139641E-004                  7.2130994740362761E-004                  1.9423580198958707E-003                  4.0903233798065429E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4455751322823028E-005                  9.8048355332024850E-001                  1.6020106960067595E-004                  7.4008347071825647E-004                  1.1317971608116053E-006                  4.1182038262387372E-001                  6.4077752229397820E-005                  3.0578800023370220E-004                  8.1578981155192877E-004                  1.7179346469701651E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                                        0                                        6 
                                     345                                      836                  1.5233517892624038E+008                  3.9455158910179184E+000                  4.1999952231538723E-001                  3.2921927247015439E+001                 -1.0833001803894680E+001                  0.0000000000000000E+000                  9.9999999959478658E-001                  9.9999999915790960E-001                  9.9999999999956268E-001                  9.9999999999340683E-001                  1.0000000000000000E+000                  9.2978119536901715E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9533430447350268E-001                 -7.3233309214091280E+000                 -7.2348266698124526E+000                 -7.0806496997780011E+000                 -4.9533412709815422E-001                 -8.5522303134024611E+000                 -4.9533430828318092E-001                 -7.3233309214091280E+000                 -7.2348266698124526E+000                 -7.6338569270384289E+000                 -8.8003930714020377E+000                 -4.0893432535084983E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.1999952231538723E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0584870689406918E+005                  4.5307534642859917E+000                  1.8945180538896591E+000                 -5.9098906517452798E-001                  5.2431162802174400E+000                  4.0882361034153635E-010                  7.8172540960284067E+000                  4.7878213978414772E+000                  2.0629008249519984E+001                  4.7878213978414772E+000                  7.8172540960284067E+000                  1.3398675386755525E+000                  4.9999168780614933E-001                  4.0592529781613633E+000                  0.0000000000000000E+000                  9.8052944355274074E-001                  1.5493515743260060E-004                  7.2130994960295579E-004                  1.9423580198958713E-003                  4.0903233798065437E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4453587238716655E-005                  9.8048355544600585E-001                  1.6020096478132893E-004                  7.4008363748443481E-004                  1.1033632912935808E-006                  4.1182028441946039E-001                  6.4080142616808455E-005                  3.0578782634767986E-004                  8.1578955987471444E-004                  1.7179341169745704E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                                        0                                        6 
                                     346                                      846                  1.5234576407917413E+008                  4.0246971370655427E+000                  4.1999938020550065E-001                  3.2921927100068729E+001                 -1.0872072844189194E+001                  0.0000000000000000E+000                  9.9999999970502584E-001                  9.9999999938723438E-001                  1.0000000000000000E+000                  9.9999999999486411E-001                  1.0000000000000000E+000                  9.2978150290079498E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2755065721313366E-001                 -7.0829482709882043E+000                 -7.0534395523096673E+000                 -6.8780483447544594E+000                 -5.2755034255423428E-001                 -8.5040113438066758E+000                 -5.2755066179796772E-001                 -7.0829482709882043E+000                 -7.0534395523096673E+000                 -7.3830779917688512E+000                 -8.5842163621558605E+000                 -4.0072670423008717E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.1999938020550065E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3278377655822752E+005                  4.5404818479285209E+000                  1.8718859918244595E+000                 -6.2176186349218487E-001                  5.3046617299060390E+000                 -6.7624807951540443E-011                  7.8229631024040529E+000                  4.7968013474191507E+000                  2.0643757095146359E+001                  4.7968013474191507E+000                  7.8229631024040529E+000                  1.3398675386783494E+000                  4.9999168780595232E-001                  4.0592529781837872E+000                  0.0000000000000000E+000                  9.8052944354544558E-001                  1.5493516020534924E-004                  7.2130995331255623E-004                  1.9423580198958716E-003                  4.0903233798065437E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4450983187648676E-005                  9.8048355800393239E-001                  1.6020083863030888E-004                  7.4008383816307117E-004                  1.0716564716787805E-006                  4.1182017702838675E-001                  6.4081526969734097E-005                  3.0578763769837389E-004                  8.1578928384605336E-004                  1.7179335356983707E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                                        0                                        6 
                                     347                                      834                  1.5235767665012792E+008                  4.0760055004038778E+000                  4.1999923877483625E-001                  3.2921926953824304E+001                 -1.0925461918840965E+001                  0.0000000000000000E+000                  9.9999999976690679E-001                  9.9999999955498120E-001                  1.0000000000000000E+000                  9.9999999999612676E-001                  1.0000000000000000E+000                  9.2978181820413397E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.5523087718811848E-001                 -6.8260695177352808E+000                 -6.8607842901148164E+000                 -6.6589546591010649E+000                 -5.5523030238138626E-001                 -8.4558971222621526E+000                 -5.5523088264718101E-001                 -6.8260695177352808E+000                 -6.8607842901148164E+000                 -7.1128937256699469E+000                 -8.3560732001243885E+000                 -3.9203902599162362E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.1999923877483625E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6743932415539806E+005                  4.5495468569677975E+000                  1.8437907712751456E+000                 -6.5393949184539646E-001                  5.3690168403680385E+000                 -1.8892186142740320E-010                  7.8290216989148025E+000                  4.8063392964979137E+000                  2.0659418001443790E+001                  4.8063392964979137E+000                  7.8290216989148025E+000                  1.3398675386835668E+000                  4.9999168780557857E-001                  4.0592529782255191E+000                  0.0000000000000000E+000                  9.8052944353176597E-001                  1.5493516636582160E-004                  7.2130995929478667E-004                  1.9423580198958724E-003                  4.0903233798065437E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4448759429123603E-005                  9.8048356018829741E-001                  1.6020073087819547E-004                  7.4008400954404211E-004                  1.0381539750513851E-006                  4.1182007190937980E-001                  6.4081773558804684E-005                  3.0578744817442457E-004                  8.1578900913675833E-004                  1.7179329572005661E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                                        0                                        6 
                                     348                                      839                  1.5237058063434130E+008                  4.1107238230695611E+000                  4.1999910542121577E-001                  3.2921926815931791E+001                 -1.0985719012300807E+001                  0.0000000000000000E+000                  9.9999999982085286E-001                  9.9999999966381914E-001                  1.0000000000000000E+000                  9.9999999999709499E-001                  1.0000000000000000E+000                  9.2978211241323550E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8285242809769411E-001                 -6.5615420443245913E+000                 -6.6648209140930961E+000                 -6.4315479623141307E+000                 -5.8285135666001497E-001                 -8.4110491274574191E+000                 -5.8285243454810842E-001                 -6.5615420443245913E+000                 -6.6648209140930961E+000                 -6.8345610263117127E+000                 -8.1257107211119504E+000                 -3.8313153216909761E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.1999910542121577E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0833337634661817E+005                  4.5576957236406423E+000                  1.8134588946341843E+000                 -6.8540316351156627E-001                  5.4319440458078647E+000                 -1.7490451120901922E-010                  7.8351915692675691E+000                  4.8160611988898987E+000                  2.0675376219108291E+001                  4.8160611988898987E+000                  7.8351915692675691E+000                  1.3398675386930818E+000                  4.9999168780489106E-001                  4.0592529783015197E+000                  0.0000000000000000E+000                  9.8052944350666904E-001                  1.5493517930968381E-004                  7.2130996862647010E-004                  1.9423580198958742E-003                  4.0903233798065437E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4446350888801170E-005                  9.8048356255416635E-001                  1.6020061415100085E-004                  7.4008419517403211E-004                  1.0040782013540433E-006                  4.1181997508863982E-001                  6.4080855726192024E-005                  3.0578726647301641E-004                  8.1578875011608092E-004                  1.7179324117407050E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                                        0                                        6 
                                     349                                      835                  1.5238454464340132E+008                  4.1450101219181237E+000                  4.1999898024828952E-001                  3.2921926686498374E+001                 -1.1047499716801257E+001                  0.0000000000000000E+000                  9.9999999984940446E-001                  9.9999999974994991E-001                  1.0000000000000000E+000                  9.9999999999778533E-001                  1.0000000000000000E+000                  9.2978238996899165E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.1155351227989529E-001                 -6.2883791345723079E+000                 -6.4665040474128190E+000                 -6.1964468315655168E+000                 -6.1155146874603850E-001                 -8.3702408860689026E+000                 -6.1155351984991380E-001                 -6.2883791345723079E+000                 -6.4665040474128190E+000                 -6.5500467479734983E+000                 -7.8944913496901030E+000                 -3.7391218508633862E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.1999898024828952E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5527204201010306E+005                  4.5650290120685195E+000                  1.7822094442264207E+000                 -7.1569446557120264E-001                  5.4925265204937199E+000                 -1.3890656921777336E-010                  7.8414578095787393E+000                  4.8259442221572559E+000                  2.0691593941112473E+001                  4.8259442221572559E+000                  7.8414578095787393E+000                  1.3398675387107040E+000                  4.9999168780361886E-001                  4.0592529784423004E+000                  0.0000000000000000E+000                  9.8052944345983717E-001                  1.5493520631640304E-004                  7.2130998324509629E-004                  1.9423580198958770E-003                  4.0903233798065437E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4444059913691972E-005                  9.8048356480454824E-001                  1.6020050310065864E-004                  7.4008437175105302E-004                  9.6953997043005677E-007                  4.1181988655851365E-001                  6.4078784652564784E-005                  3.0578709305099716E-004                  8.1578850698528775E-004                  1.7179318997426311E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                                        0                                        6 
